P1E Nummer;P89 Nummer;P89 Alternativ;Material Kurztext;Material Status;Disponent
1910512138;0000471034;;Sicherungsring 90x3 DIN471;GE;SP1
1910564059;0000625342;;Rillenkugellager 6211-2ZR;AE;SP6
1910367633;0000912134;P1E=EU Löschvermerk;Zylinderschraube M16x65 8.8 vz;EU;SP5
8000694924;0000912168;;Zylinderschraube M3x12 8.8 vz;GE;SP1
1910367635;0000912172;;Zylinderschraube M4x12 8.8 verzinkt;GE;SP2
1910367636;0000912188;P1E=EU Löschvermerk;Zylinderschraube M4x10 8.8 vz;EU;SP5
8000694948;0000912200;;Zylinderschraube M4x8 8.8 vz DIN912;GE;SP2
1910367637;0000914005;;Gewindestift M5x16 45H St vz;GE;SP1
8001363246;0000988008;;Passscheibe 20x28x1;EU;SP5
8000690848;0006885030;;Passfeder A8x7x50 DIN6885;GE;SP2
1910367638;0007985026;;Kombischraube M3x8 Z4-1 4.8 vz;GE;SP2
8001413541;0007985030;;Kombischraube M4x8 Z3 St vz;GE;SP1
1910512161;0098103610;;Achshalter 30x8x13;GE;SP1
1910512162;0098104610;;Achshalter 40x10x13;GE;SP1
1910512163;0098105610;;Achshalter 50x12x180x140x17;GE;SP1
1910367643;0098106610;;Achshalter 60x5x18;EU;SP5
1910364342;0098150710;;Schlitzbeilage 0,15;GE;SP2
1910209124;0098152710;;Schlitzbeilage 50x50 D1mm;AE;SP6
1910367652;0098158710;;Schlitzbeilage 1 100x50mm 1mm stark;GE;SP1
1910209125;0098165710;;Schlitzbeilage 11mm stark;AE;SP6
1910367654;0098166710;;Schlitzbeilage 2;AE;SP6
1910367655;0098201100;;Türfeststeller 10/22x13;EU;SP5
1910367656;0098202160;;Schwingmetallpuffer 50Dx30 M10;GE;SP1
1910367657;0098202200;;Puffer D50xd17x52;GE;SP1
1910207096;0098203160;;Schwingmetallpuffer M8 D30x20x70;GE;SP1
1910367661;0098203200;;Elastomerfeder 13,5/32x50;GE;SP1
1910363733;0098204170;;Puffer 30x20xM8 für Getriebemotor;GE;SP1
1910367663;0098205160;;Schwingmetallpuffer 15x7 M4;GE;SP1
1910207097;0098205170;;Puffer 30x20xM6;GE;SP1
1910207098;0098207170;;Metall Gummipuffer D15x15xM4;GE;SP1
1910365918;0098207600;;Sterngriff 58,8xD50;GE;SP2
1910367667;0098208100;;Stossdaempfer;GE;SP2
1910564060;0098209100;;Dictator Z 1009;GE;SP1
1910207099;0098209160;;Puffer 15x30xM4;AE;SP6
1910367669;0098209170;;Gummipuffer 25x20;GE;SP1
1910365952;0098210160;;Puffer 25x20xM6;GE;SP1
1910367672;0098210200;;Gummipuffer 60/100x50;EU;SP5
1910207101;0098210600;;Drehriegel mit Schliesszylinder;GE;SP1
1910367679;0098211100;;Daempfer;GE;SP1
1910363780;0098211160;;Puffer 30x20xM8 mitGewindstange;GE;SP1
1910367684;0098211200;;Elastomerfeder 17/50x50;GE;SP1
1910367685;0098211600;;Scharnier 165G Deckplatte;GE;SP2
1910367686;0098212160;0098212160_L;Puffer 15x20xM4;GE;SP1
1910367687;0098212200;;Gummipuffer 85x32;GE;SP1
1910207102;0098218200;;Elastomerfeder 17/40x50;GE;SP1
1910207103;0098219200;;Elastomerfeder 17/40x63;GE;SP1
1910207104;0098229200;;Elastomerfeder 21/50x50;GE;SP1
1910367691;0098230200;;Elastomerfeder 21/50x63;GE;SP1
1910564061;0098401480;;S Haken L23 St verzinkt;AE;SP6
1910207105;0098403020;;Buchse mit Bund D12xd10x6;GE;SP1
1910209126;0098403280;;Seilklemme 3-3,5;GE;SP1
1910367621;0098403490;;Knotenkette K16x2,5;GE;SP2
1910367694;0098404020;;Buchse D17xd15x6 mit Bund;GE;SP1
1910367697;0098409010;;Buchse D 20.2H/25R6x20;GE;SP1
1910367698;0098410010;;Buchse D 20.2H7/25R6x24;GE;SP1
8001332217;0098411020;;Bundbuchse 25x28x21,5-DU;EU;SP5
1910207106;0098411200;;ZB Seilschloss Gr.6,5;GE;SP1
1910367700;0098413020;;Buchse BB 2522 DU mit Bund D28xd25x21,5;GE;SP1
1910367622;0098419010;;Buchse MB 4530 DU;AE;SP6
8001363342;0098421010;;Buchse MB 2520 DU;GE;SP1
1910367712;0098422010;;Buchse MB 3020 DU;GE;SP1
1910564062;0098425010;;Buchse MB 1612 DU;AE;SP6
1910367714;0098501920;;Federsplint 12x2;GE;SP1
1910367716;0098502100;;Hakenkopfschraube HS M12x40 GV-S 4.6 MU;EU;SP5
1910367717;0098503080;;Friesleistenschraube AM5x15 St;AE;SP6
1910367718;0098503100;;Hakenkopfschraube M16x40 MU 4.6 vz;EU;SP5
1910367719;0098503920;;Federsplint 20x3;GE;SP1
1910367720;0098505080;;Friesleistenschraube M5x10 St;GE;SP2
1910367721;0098506080;;Friesleistenschraube M5x20 St;AE;SP6
1910367722;0098512100;;Hakenkopfschraube M16x50 MU 4.6 vz;EU;SP5
1910367723;0098512600;;Scheibe 5,3x20x2 vz;AE;SP6
8001332347;0098520600;;Scheibe A 8,5/40x3,5;GE;SP2
1910207107;0098535600;;Scheibe B 10,2/20x1;AE;SP6
1910367729;0098537600;;Scheibe 17,5/30x0,5;EU;SP5
1910367730;0098541600;;Scheibe B 10,5/50x5 St37-2 vz;GE;SP2
8001292876;0098543600;;Scheibe 11/23x6 Cr63 schwarz;GE;SP1
8000921100;0098544600;;Scheibe 15,8/25x5 Cr63 schwarz;GE;SP1
1910564063;0098575600;;Scheibe 17/50x8 vz;AE;SP6
8001414680;0098577600;;Scheibe d52/D68x4 PVC-U;GE;SP1
8001414681;0098578600;;Scheibe d62/D80x4 PVC-U;GE;SP2
8001414682;0098580600;;Scheibe d82/D100x4 PVC-U;GE;SP1
8001332218;0098581600;;Scheibe 19,5/32x6 Neopr. Cr65 schwarz;GE;SP1
1910367731;0098601410;;Absperrventil AR 1/2;EU;SP5
1910367734;0098601500;;Faltenbalg V6-272 fuer ZB Daempfer;GE;SP2
1910207108;0098602350;;Presse 500 A C1;GE;SP1
1910367738;0098602420;;Manometer R100-1;GE;SP2
1910207109;0098602500;;Faltenbalg Nr.604839;GE;SP1
1910367740;0098604480;;Kupplung MK2001 7/10;EU;SP5
1910367741;0098605480;;Kupplungselement W191 SA14;GE;SP1
8000920989;0098606400;;Oelstandsauge G 3/4Zoll;GE;SP1
1910367754;0098606450;;Spritzring 45;EU;SP5
8001292877;0098606480;;Kupplungselement W263B TW160 SA14;GE;SP1
8000920990;0098607400;;Flachdichtung R 3/4Zoll;GE;SP1
8000920988;0098608400;;Filter Be-und Entlueftung;GE;SP1
1910367759;0098610480;;Kupplungselement W149B;GE;SP2
1910367760;0098612480;;Kupplung MK2001 7/7;EU;SP5
1910564064;0098613480;;Kupplung MK2001 7/11;GE;SP1
1910207110;0098619110;;Scheibe 10,5/21x2,5 Gummi;GE;SP1
1910207111;0098620410;;Vorsteuerventil GZ3-1 (42V);EU;SP5
1910367765;0098622410;;Vorsteuerventil GZ3-1U 185V;EU;SP5
1910207112;0098801400;;Zugfeder 520x12,5x2,5/188;GE;SP1
1910367769;0098803120;;Druckfeder 90x21,5x1,5/11,5;EU;SP5
1910207113;0098803130;;Druckfeder 120x32x6,5/13,5;GE;SP1
1910207114;0098803400;;Zugfeder 39,8x6x0,85/37;GE;SP1
1910207115;0098804800;;Federteller verzinkt farbbehandelt;AE;SP6
1910367773;0098805140;;Druckfeder 160x51x12/11;GE;SP1
1910367775;0098806130;;Druckfeder 40x30,3x1,8/6,5;EU;SP5
1910207116;0098807120;;Druckfeder 70x21,5x2,8/11,5;GE;SP1
1910367777;0098808120;;Druckfeder 92x23,2x2,3/16;AE;SP6
1910207117;0098809130;;Druckfeder 125x38,3x6,3/11,5;EU;SP5
1910207118;0098809400;;Zugfeder 380x21,5x1,5/232;GE;SP1
1910367785;0098810130;;Druckfeder 105x35x7/11,5;EU;SP5
1910367786;0098810500;;Clipsfeder 16x9,6x6,7;GE;SP1
1910207119;0098812500;;Schenkelfeder;GE;SP1
1910367789;0098813500;;Drehfeder 4,8x10,3x0,8/4;GE;SP1
1910367794;0098814800;;Federteller 15x6x22;AE;SP6
1910356732;0098815400;;Zugfeder M2T S2 TB800;GE;SP1
1910367796;0098815800;;Federteller 18x10x32;GE;SP2
1910367798;0098816110;;Druckfeder 70x19,5x1,5/10,5;GE;SP1
1910362836;0098816800;;Federteller A 24mm;AE;SP6
1910367801;0098817140;;Druckfeder 100x69x5/5,5;EU;SP5
8001346165;0098817800;;Federteller A;GE;SP2
1910367802;0098818130;;Druckfeder 38x32,5x1,5/7,5;GE;SP1
1910207121;0098818400;;Zugfeder 105x15x1,4/63;GE;SP1
8000921102;0098819130;;Druckfeder 75x38,3x6,3/7,5;GE;SP2
8001292878;0098819800;;Federteller TW160 35x14x55;GE;SP2
8001292879;0098820800;;Federteller TW160 35x11x55;GE;SP2
1910207122;0098821140;;Druckfeder 139x5,85x2,5/7;EU;SP5
1910367805;0098821500;;Blattfeder fuer NC-Plattform;GE;SP2
1910207123;0098824400;;Zugfeder 350x24x3,2/100;GE;SP1
1910367807;0098825140;;Druckfeder 160x55x10/12,5;GE;SP1
1910367809;0098825400;;Zugfeder 88x21,2x3,2/19;GE;SP1
1910367814;0098827400;;Zugfeder 105x16x1,4/32;GE;SP1
1910207124;0098829120;;Druckfeder 52x26,5x4,5/8,5;GE;SP1
1910367820;0098831110;;Druckfeder 198x11,7x1,6/62;AE;SP6
1910207125;0098832110;;Druckfeder 100x11,9x0,9/22;AE;SP6
1910207126;0098832120;;Druckfeder 84x26x5/12,5;GE;SP1
1910367828;0098833110;;Druckfeder 30x12x1,25/8,8;GE;SP1
1910367829;0098833120;;Druckfeder 70x25x4/10;GE;SP2
8000921103;0098833800;;Federteller TW63B 24,5x11x40;GE;SP2
1910207127;0098834400;;Zugfeder 447x22x2/208;GE;SP1
8000921104;0098834800;;Federteller TW63B 17,5x24,5x40;GE;SP2
1910207128;0098835120;;Druckfeder 93x22,5x2,5/13,5;AE;SP6
1910207129;0098835400;;Zugfeder 647x22x2/308;GE;SP1
1910367837;0098836140;;Druckfeder 105x118x18/4;GE;SP1
1910207130;0098836400;;Zugfeder 510x16x1,8/270 schwarz;GE;SP1
1910367839;0098837140;;Druckfeder 105x120x20/4;GE;SP2
1910207131;0098837400;;Zugfeder 660x16x1,8/354 red;GE;SP1
1910207132;0098838400;;Zugfeder 790x16x1,8/426 grün;GE;SP1
1910367845;0098839110;;Druckfeder 52x12,1x1,1/13;GE;SP2
1910207133;0098839400;;Zugfeder 800x11,3x1,3/603 blau;GE;SP1
1910362837;0098840800;;Federteller A 54mm;AE;SP6
1910207134;0098841400;;Zugfeder 1250x11,3x1,3/949 gelb;GE;SP1
1910207135;0098842110;;Druckfeder 26x11,6x1,6/9;GE;SP1
1910367850;0098842400;;Zugfeder 32,6x10,8x0,8/-;GE;SP1
8001292880;0098844140;;Druckfeder 105x54x9/8,5;GE;SP1
1910207136;0098847100;;Druckfeder 80x7,75x0,75/37;GE;SP1
1910367855;0098850800;;Federteller 48x11x5;GE;SP1
1910367856;0098852140;;Druckfeder 50x56x8/2,5;GE;SP1
1910564065;0098852800;;Federteller 56x13x5;GE;SP1
1910367857;0098853140;;Druckfeder 64x56,3x6,3/3,5;GE;SP2
1910367858;0098853800;;Federteller 56x17x5;GE;SP1
1910207137;0098854100;;Zugfeder 22x6x0,55/25;GE;SP1
1910367863;0098859110;;Druckfeder 10x10,3x0,6/3,8;GE;SP1
1910367864;0098863110;;Druckfeder 74,3x11,5x0,5/-;GE;SP1
1910209222;0098904010;;Laufrolle A30x14,5x14;GE;SP1
8001363252;0098906990;;Wagenheber hydraulisch 20 to;GE;SP1
1910367866;0098917010;;Rolle D22/EBB;AE;SP6
1910207138;0098919010;;Rolle D50 ,Breite15;GE;SP1
1910367870;0099008030;;Drehgeber 1x500 IMP.;GE;SP1
1910367873;0099009030;;Steckverbinder rund Abgew. 7-polig M16;GE;SP1
1910367874;0099010030;;Drehgeber 2x1000 IMP.;GE;SP2
1910367876;0099016030;;Drehgeber 2x1024 Imp.HTL Aderendhuelsen;GE;SP1
8000920997;0099017030;;Drehmomentstuetze fuer Drehgeber 36x25;GE;SP2
1910207141;0099101050;;Zylinderschloss Schliessweg A-B;AE;SP6
1910367879;0099105070;;LED Anzeige SAZ/NSK35;EU;SP5
1910367880;0099106070;;LED Anzeige NSK35;AE;SP6
1910207142;0099109130;;Betaetigungsvorsatzschloss A;EU;SP5
1910207143;0099111010;;Hupe 24VOLT Typ HU;GE;SP2
1910367884;0099116130;;Betaetigungsvorsatzschlagschalter;EU;SP5
1910207144;0099127030;;Anschlussdose TAE 3x6 NFN Ap;GE;SP2
1910207145;0099131030;;Sprechstelle MT934-O S;GE;SP1
1910367888;0099132030;;Sprechstelle MT932-0 S;GE;SP2
1910207146;0099133030;;Halterung MH932-0S;GE;SP1
1910367890;0099134030;;Sprechstelle ZS932-OS;GE;SP1
1910207147;0099135030;;Sprechstelle ZS932-3S;GE;SP1
1910207148;0099136030;;Anbaumodul MFM932-5S;GE;SP1
1910207149;0099138030;;Lautsprecher d:8cm 4Ohm;GE;SP1
1910367896;0099199050;;Schlüssel NR.3534;GE;SP1
1910207150;0099201040;;Druckwellenkontakt DW3;GE;SP1
1910367623;0099201130;;Schaltansatz;GE;SP2
1910207151;0099202040;;Druckwellenkontakt DW3 m Bügel;GE;SP1
1910367900;0099202080;;Schalter C14 A 221 PN;EU;SP5
1910207152;0099202130;;Meldeleuchtenansatz;EU;SP5
1910367903;0099202210;;Endtaster Ex;GE;SP2
1910207153;0099202600;;Initiator;GE;SP1
1910367905;0099204070;;Mikroschalter BZ-2RS-A2;GE;SP1
1910207154;0099204250;;Magnetschalter GMS16-ZS;GE;SP1
1910207155;0099204600;;Naeherungsschalter 5-25V DC 1,5kHz;GE;SP1
1910367908;0099205080;;Schalter CA 10 A 211-601E;GE;SP2
1910207156;0099205170;;ZB Inspektionskasten;GE;SP1
1910207157;0099206070;;Mikroschalter 6A-250V;GE;SP1
1910367913;0099206250;;Dauermagnet D30/d4,5;AE;SP6
1910367917;0099206600;;Naeherungsschalter induktiv;GE;SP1
1910363297;0099207170;;Inspektionskasten TCI Steuerung;GE;SP1
1910207158;0099207600;;Naeherungsschalter;GE;SP1
1910209000;0099208120;0099208120_L;Drehgeber Hohlwelle 2x2048 EnDat ECN113;GE;SP1
1910367920;0099208170;;Rueckholsteuerungskasten;AE;SP6
1910367924;0099208250;;Magnet Oxid 380;GE;SP1
1910207160;0099209070;;Mikroschalter mit Schraubanschluss;AE;SP6
1910365951;0099209600;;Netzgeraet Power-Rail KFD2-EB2;GE;SP1
1910207161;0099210040;;Druckschalter 1W 4A/250V R1/4;GE;SP1
1910365950;0099210050;;Lasttrennschalter für Tragschiene 1P;GE;SP1
1910207162;0099210190;;Tastschalter 16A 250V AC 1S 1OE;GE;SP1
1910367942;0099211040;;Geraetesteckdose Typ6050/9 und 6050/10;GE;SP1
1910367944;0099212050;;Kippschalter Umschalter 2pol 4A 250V;GE;SP1
1910207163;0099213050;;Grenztaster Typ ZS-231-01yr;GE;SP1
1910207164;0099213080;;Kleinschalter 50/42 II ZA;EU;SP5
1910207165;0099214190;;Taster Elektronik ET28I;GE;SP1
1910367949;0099215070;;Mikroschalter M2,5x25;GE;SP1
8001292881;0099216070;;Taster Bremskontrolle 24VDC 200mA IP65;GE;SP1
1910207167;0099216220;;Sicherheitsschalter 1S 1OE m.Rh. var.;GE;SP1
1910367952;0099219220;;Tastschalter 2O;GE;SP1
1910207169;0099220220;;Tastschalter 1Oe 1S;GE;SP1
1910367958;0099221190;;Taster IP44;GE;SP2
1910207170;0099221220;;Tastschalter Ex mit Rollenhebel;GE;SP1
1910207171;0099222220;;Tastschalter Ex Kuppenst.;GE;SP1
1910367964;0099223190;;Schlüsselschalter 4S;GE;SP1
8001363343;0099223220;;Sicherheitsschalter m.Bügelbetät. IP54;GE;SP1
1910207173;0099224190;;Kurzhubtaster MT28MI;GE;SP1
1910207174;0099225190;;Kappe MT28MI V2A;GE;SP1
1910207175;0099226190;;Kurzhubtaster Alarm MT28;GE;SP1
1910367971;0099231190;;Kurzhubtaster Alarm MT42;GE;SP1
1910207176;0099232190;;Kurzhubtaster MT42 Th;GE;SP1
1910362694;0099233190;;Tastplatte neutral MT42;GE;SP1
1910367977;0099234080;;Nockenschalter;GE;SP2
1910367978;0099235190;;Taster 250V 0,7A mit Steckanschluss;GE;SP2
1910207177;0099239080;;Rueckholschalter;GE;SP1
1910367985;0099242080;;Rastschalter 500V AC 10A für Inspektion;GE;SP2
1910207178;0099245080;;Hauptschalter;GE;SP1
1910207179;0099251080;;Inspektionsschalter Nockenschalter NNFib;GE;SP1
1910207180;0099256080;;Stromstossschalter 2S Sp.230/240VAC;GE;SP1
1910207181;0099257080;;Sicherheitsschalter 1S 1OE Z4K 236-11r;GE;SP1
1910207182;0099263080;;Rastschalter 2S;GE;SP1
1910207183;0099264080;;Rastschalter 3S 1OE;GE;SP1
1910207184;0099265080;;Rastschalter 2S 3OE;GE;SP1
1910207185;0099267080;;Rastschalter 500V AC 10A;GE;SP1
1910367995;0099268080;;Rastschalter ohne Unterteil 500V AC 10A;GE;SP1
1910207186;0099271080;;Rastschalter 690V AC 10A;GE;SP1
1910367997;0099272080;;Rastschalter Schlüsselumschalter;GE;SP1
1910207187;0099274080;;Rastschalter 3S 3OE;GE;SP1
1910365949;0099276080;;Stromstoßschalter 24 Volt 2 Schliesser;GE;SP1
1910207188;0099291190;;Tastplatte fuer ET28;GE;SP1
1910207189;0099292190;;Haltefeder fuer ET28;GE;SP1
1910207190;0099298070;;Federhebel;AE;SP6
1910368004;0099299070;;Anschlussabdeckkappe;GE;SP1
1910209129;0099301010;;"Schlüssel Schließung:6337.381 XN1""A""";GE;SP1
1910367625;0099301222;;BK Heizung;AE;SP6
1910207191;0099301520;;Druckknopftaster 1001 S1 A;GE;SP1
1910207192;0099301590;;Starter fuer Leuchtstoffl. 4-22W ST151;GE;SP1
1910368010;0099301620;;Lampe 24V 2W F9;AE;SP6
1910207193;0099302590;;Starter fuer Leuchtstoffl. 4-66W ST111;GE;SP1
1910207194;0099303080;;Trafo 1Ph Eten 650;GE;SP2
1910207195;0099304010;;Schlüssel BKS;AE;SP6
1910207196;0099305010;;Schlüssel Stahl;GE;SP1
1910368016;0099305520;;Drucktaster 1101 S1 R A;EU;SP5
1910207197;0099306010;;Zeiss Ikon Schlüssel YN1 C;GE;SP1
1910207199;0099307840;;Gleichrichter VPRM 800V, 17A;GE;SP1
1910209001;0099308580;0099308580_L;Leuchtstofflampe 36W D26 1200mm -840;EU;SP5
1910207200;0099308840;;Drehstromgleichrichter;GE;SP1
1910207201;0099309010;;Schlüssel für STUV-Schloss;GE;SP1
1910207202;0099310020;;Profilhalbzylinder Schliessung C;GE;SP1
1910368023;0099310660;;Ueberstromautomat L10;EU;SP5
1910368024;0099311020;;Schliesszylinder BKS;AE;SP6
1910207203;0099312020;;Halbzylinder für Schlüsselschalter;GE;SP1
1910207204;0099312660;;Ueberstromautomat G 2;GE;SP1
1910368027;0099313020;;Halbzylinder SL42C;GE;SP1
1910367624;0099314660;;Ueberstromautomat G 5;EU;SP5
1910368030;0099315200;;Bremswiderstand 14R 4kW/8kW 100%/40% 498;GE;SP2
1910368031;0099315660;;Ueberstromautomat G 8;GE;SP2
1910207205;0099315690;;Wannenleuchte 1x40W U-Form IP50;AE;SP6
1910368033;0099316200;;Bremswiderstand 14R 6,5kW/9,5kW 100%/40%;GE;SP2
1910368034;0099317200;;Bremswiderstand 14R 10kW/13kW 100%/40%;GE;SP2
1910368035;0099318200;;Bremswiderstand 7R 6,5kW/9,5kW 100%/40%;GE;SP2
1910368036;0099318660;;Ueberstromautomat L16;EU;SP5
1910564066;0099319020;;Halbzylinder 5532 48959A;GE;SP1
1910207207;0099319660;;Leitungsschutzschalter 2A 1pol C;GE;SP1
1910368039;0099319690;;Wannenleuchte 1x40W IP50;EU;SP5
1910368040;0099320200;;Bremswiderstand 7R 16kW/20kW 100%/40%;GE;SP2
1910207208;0099321580;;Leuchtstoffroehre 22W/D21,6;AE;SP6
1910207209;0099321850;;Varistor 50V 0,6W;GE;SP1
1910365948;0099322600;;Signalleuchte gruen 24V;GE;SP2
1910207210;0099322620;;Soffittenlampe 6V 5W;EU;SP5
1910207212;0099323200;;Bremswiderstand 14R 4kW/8kW 100%/40%;GE;SP1
1910365947;0099323850;;Diode 1N4004 1A THT;GE;SP2
1910207214;0099324200;;Bremswiderstand 7R 6,5kW/13kW 100%/40%;GE;SP1
1910207215;0099324660;;Leitungsschutzschalter 10A 1pol B;GE;SP1
1910207216;0099325600;;Signalleuchte farblos 24V1,2W;GE;SP1
1910207217;0099325690;;Wannenleuchte 2x18W IP65;GE;SP1
1910564067;0099326200;;Bremswiderstand 22R 1,9kW/4,1kW 100/40%;AE;SP6
1910207219;0099326600;;Anzeige LED 12V Rastgehäuse Bohrd.10mm;GE;SP1
1910207220;0099327200;;Bremswiderstand 22R 1,2kW/2,6kW 100/40%;GE;SP1
1910368052;0099327600;;Anzeigeleuchte 220V;GE;SP1
1910207221;0099327660;;Leitungsschutzschalter 4A 1pol C;GE;SP1
1910368054;0099328200;;Bremswiderstand 22R 0,65/1,4kW 100/40%;GE;SP1
1910365946;0099328660;;Leitungsschutzschalter 16A 3pol B;GE;SP2
1910368061;0099329200;;Bremswiderstand 22R 4,0kW/8,5kW 100/40%;GE;SP1
1910207224;0099329620;;Gluehlampe 24V Soffitte;GE;SP1
1910207225;0099329660;;Leitungsschutzschalter 6A 3pol B;GE;SP1
1910365945;0099331660;;Leitungsschutzschalter 10A 3pol B;GE;SP2
1910368065;0099332660;;Leitungsschutzschalter 1A 1pol C;GE;SP2
1910207226;0099333660;;Leitungsschutzschalter 6A 1pol B;GE;SP1
1910207227;0099334100;;Drossel Kommutierung 50A 3x0,29mH;GE;SP1
1910207228;0099334660;;Leitungsschutzschalter 16A 1pol B;GE;SP1
1910207229;0099336690;;Notleuchte 12V 8W;GE;SP1
1910368071;0099339620;;Schraublampe rund 24V 20W;AE;SP6
1910365944;0099340660;;FI Schutzschalter 63A;GE;SP2
1910365943;0099341660;;Leitungsschutzschalter 6A 2pol B;GE;SP1
1910365942;0099342660;;Leitungsschutzschalter 10A 2pol B;GE;SP1
1910368075;0099343660;;Leitungsschutzschalter 2A 2pol C;GE;SP2
1910365961;0099344660;;Leitungsschutzschalter 3A 3pol C;GE;SP1
1910368084;0099346620;;Gluehlampe 6V E14;EU;SP5
1910368088;0099347370;;Klemmenleiste 3pol;GE;SP2
1910365941;0099347660;;Leitungsschutzschalter 6A 1pol C;GE;SP1
1910365940;0099348660;;Leitungsschutzschalter 1,6A 1pol Z;GE;SP1
1910368093;0099349660;;Leitungsschutzschalter 4A 1pol+N C;EU;SP5
1910368094;0099350660;;Leitungsschutzschalter  C60N   B10;GE;SP1
1910207230;0099354590;;Vorschaltgeraet LXOL 40W 120mm LG;GE;SP1
1910207231;0099354620;;Gluehlampe 6V E10;EU;SP5
1910207232;0099355620;;Gluehlampe 24V Bajonett;GE;SP1
1910368098;0099356370;;Klemmenleiste 300/12pol;GE;SP2
1910207233;0099356620;;Gluehlampe 24V 3W;GE;SP1
1910209130;0099357100;;Netzfilter 3x30A 480V AC;AE;SP6
1910207234;0099359100;;Netzfilter 3x36A 480VAC;EU;SP5
1910207235;0099360100;;Netzfilter 3x50A 480V AC;GE;SP1
1910365938;0099370440;;Feste Bruecke FBI 10-6;GE;SP2
1910564068;0099377620;;Glimmlampe 220V E14 ERG;GE;SP1
1910207236;0099380010;;Vorrechtschlüssel;GE;SP1
1910207237;0099397010;;Glasscheibe fuer Schl. Kasten;GE;SP1
1910368109;0099399010;;Schlüsselkasten;EU;SP5
1910207238;0099501750;;Ventilator Typ1550;GE;SP1
1910363464;0099501800;;Magnet 40V Vierkant-Hubmagnet;GE;SP1
1910368112;0099502210;;Relais BV2102 rund;EU;SP5
1910207239;0099503820;;Magnetschalter Gmom16-AS;GE;SP1
1910207240;0099504750;;Ventilator KA L160D;EU;SP5
1910368116;0099505330;;Schalter mit Rollenschwenkhebel Form 1H;GE;SP2
1910207241;0099505750;;Ventilator L160 D;GE;SP1
1910207242;0099505820;;Magnetschalter Gmum16;GE;SP1
1910367630;0099506700;;Betriebsstundenzaehler;EU;SP5
1910368118;0099506750;;Haube fuer Typ L 160D;GE;SP1
1910368119;0099506820;;Dauermagnet M2 blau;GE;SP1
1910368120;0099507820;;Dauermagnet M2 rot;GE;SP1
1910368121;0099508010;;Schneidankerrelais J56 Max. 220V;EU;SP5
1910207243;0099508820;;Magnetschalter KRS9;GE;SP1
1910365937;0099510700;;Betriebsstundenzaehler mit Rueckstellung;AE;SP6
1910207244;0099511700;;Impulszaehler ohne Rueckstellung;GE;SP1
1910365936;0099512700;;Impulszaehler mit Rueckstellung;GE;SP2
1910368126;0099515800;;Magnet 180V 49131-06 D 04;GE;SP1
1910207245;0099522300;;Motorschutzschalter GV2-MEO4 0,4-0,63A;GE;SP1
1910207246;0099523300;;Motorschutzschalter GV2-ME05 0,63-1A;GE;SP1
1910368135;0099524290;;Relais BV2924 rund;EU;SP5
1910207247;0099526300;;Motorschutzschalter GV2-ME07 1,6-2,5A;GE;SP1
1910363467;0099526800;;Magnet 40V für Kastenblech;GE;SP1
1910365935;0099527300;;Motorschutzschalter GV2-ME08 2,5-4A;GE;SP1
1910207248;0099527800;;Magnet 180V GE65E/16;GE;SP1
1910365934;0099529300;;Motorschutzschalter GV2-ME10 4-6,3A;GE;SP1
1910368143;0099529800;;Magnet 24V;GE;SP1
1910365933;0099530300;;Motorschutzschalter GV2-ME14 6-10A;GE;SP1
1910356629;0099530800;;Magnet 12V für Zusatzverriegleung;GE;SP1
1910368150;0099531090;;Relais BV931 rund;EU;SP5
1910365932;0099531300;;Motorschutzschalter GV2-ME16 9-14A;GE;SP2
1910368152;0099536800;;Magnetspule 24V;GE;SP2
1910368153;0099538800;;Magnetspule 185V;GE;SP2
1910368154;0099543300;;Motorschutzschalter GV2-L10 6,3A;GE;SP1
1910368155;0099544300;;Leistungsschalter f.Motorschutz 14-20A;GE;SP2
1910368157;0099547300;;Leistungsschalter f. Motorschutz 28-40A;GE;SP1
1910207249;0099548800;;Magnet 40V IP54;EU;SP5
1910368159;0099549800;;Magnet 180V IP54;GE;SP2
1910363459;0099550800;;Magnet 12V für Begrenzer;GE;SP2
1910368164;0099555800;;Hubmagnet 24V;GE;SP1
1910207250;0099603010;;"""Ventilator 160D220 V, 0,14 A";GE;SP1
1910207251;0099604010;;Ventilator mit Schutzleiter 160S;GE;SP1
1910207252;0099605010;;Ventilator L160S saugend mit Blechabdeck;GE;SP1
1910368179;0099605030;;Leuchte 765/25;GE;SP1
1910209002;0099605050;0099605050_L;Akku LL 2,2-12S 12V/2,2Ah;GE;SP1
1910367631;0099609010;;Ventilator SK 3153 1S;GE;SP1
1910207253;0099611030;;HA Einbaustrahler;AE;SP6
1910207254;0099612010;;Luefter W2E 143-AA09-01;GE;SP1
1910368182;0099612030;;HA Deko Glas;EU;SP5
1910207255;0099613030;;Plexiglasblende Rondo;GE;SP1
1910207256;0099614030;;Lochblendenschirm Rondo hellweiss 24W;EU;SP5
1910368185;0099617010;;Fremdbelueftung mit Flansch 1000mm Kabel;GE;SP1
1910207257;0099619010;;Ventilator f.Fahrkorb u.Schaltschrankent;GE;SP1
1910368187;0099621010;;Schutzgitter fuer Ventilator;GE;SP1
1910368188;0099701020;;Klemmenleiste BK 3KRG;GE;SP2
1910207258;0099705030;;Gehäuse CI 43E-200;EU;SP5
1910365931;0099708110;;Federleiste pol. Durchg. AWG18;GE;SP1
